timestamp,sensor_id,temperature_celsius,humidity_percent
2026-04-13 22:07:49,ESP8266_Node_1,40.11,49.18
2026-04-13 22:12:49,ESP8266_Node_1,39.72,48.97
2026-04-13 22:17:49,ESP8266_Node_1,40.5,52.01
2026-04-13 22:22:49,ESP8266_Node_1,39.66,51.05
2026-04-13 22:27:49,ESP8266_Node_1,40.16,50.12
2026-04-13 22:32:49,ESP8266_Node_1,40.67,52.87
2026-04-13 22:37:49,ESP8266_Node_1,39.33,50.86
2026-04-13 22:42:49,ESP8266_Node_1,39.82,52.59
2026-04-13 22:47:49,ESP8266_Node_1,39.31,53.43
2026-04-13 22:52:49,ESP8266_Node_1,39.33,54.04
2026-04-13 22:57:49,ESP8266_Node_1,38.76,52.04
2026-04-13 23:02:49,ESP8266_Node_1,38.73,54.23
2026-04-13 23:07:49,ESP8266_Node_1,38.8,55.17
2026-04-13 23:12:49,ESP8266_Node_1,39.15,52.54
2026-04-13 23:17:49,ESP8266_Node_1,39.43,50.14
2026-04-13 23:22:49,ESP8266_Node_1,38.82,54.26
2026-04-13 23:27:49,ESP8266_Node_1,39.01,53.91
2026-04-13 23:32:49,ESP8266_Node_1,39.26,56.09
2026-04-13 23:37:49,ESP8266_Node_1,37.69,53.19
2026-04-13 23:42:49,ESP8266_Node_1,38.92,53.48
2026-04-13 23:47:49,ESP8266_Node_1,39.21,55.18
2026-04-13 23:52:49,ESP8266_Node_1,38.74,56.08
2026-04-13 23:57:49,ESP8266_Node_1,38.75,56.34
2026-04-14 00:02:49,ESP8266_Node_1,37.86,55.45
2026-04-14 00:07:49,ESP8266_Node_1,38.07,56.68
2026-04-14 00:12:49,ESP8266_Node_1,39.82,53.62
2026-04-14 00:17:49,ESP8266_Node_1,38.64,54.52
2026-04-14 00:22:49,ESP8266_Node_1,38.71,53.1
2026-04-14 00:27:49,ESP8266_Node_1,37.46,54.54
2026-04-14 00:32:49,ESP8266_Node_1,38.18,56.29
2026-04-14 00:37:49,ESP8266_Node_1,37.71,51.52
2026-04-14 00:42:49,ESP8266_Node_1,38.46,58.32
2026-04-14 00:47:49,ESP8266_Node_1,39.25,59.38
2026-04-14 00:52:49,ESP8266_Node_1,37.89,57.76
2026-04-14 00:57:49,ESP8266_Node_1,37.81,57.9
2026-04-14 01:02:49,ESP8266_Node_1,38.09,62.12
2026-04-14 01:07:49,ESP8266_Node_1,37.66,55.01
2026-04-14 01:12:49,ESP8266_Node_1,37.8,57.29
2026-04-14 01:17:49,ESP8266_Node_1,37.26,58.27
2026-04-14 01:22:49,ESP8266_Node_1,37.98,56.79
2026-04-14 01:27:49,ESP8266_Node_1,37.93,60.67
2026-04-14 01:32:49,ESP8266_Node_1,37.16,57.65
2026-04-14 01:37:49,ESP8266_Node_1,37.91,57.05
2026-04-14 01:42:49,ESP8266_Node_1,37.68,57.46
2026-04-14 01:47:49,ESP8266_Node_1,37.32,58.91
2026-04-14 01:52:49,ESP8266_Node_1,38.78,58.83
2026-04-14 01:57:49,ESP8266_Node_1,38.02,55.25
2026-04-14 02:02:49,ESP8266_Node_1,37.04,57.79
2026-04-14 02:07:49,ESP8266_Node_1,37.07,56.66
2026-04-14 02:12:49,ESP8266_Node_1,37.48,59.22
2026-04-14 02:17:49,ESP8266_Node_1,38.18,59.15
2026-04-14 02:22:49,ESP8266_Node_1,37.6,59.57
2026-04-14 02:27:49,ESP8266_Node_1,38.12,58.48
2026-04-14 02:32:49,ESP8266_Node_1,37.61,61.05
2026-04-14 02:37:49,ESP8266_Node_1,36.97,58.91
2026-04-14 02:42:49,ESP8266_Node_1,49.14,57.39
2026-04-14 02:47:49,ESP8266_Node_1,37.8,59.95
2026-04-14 02:52:49,ESP8266_Node_1,36.79,61.48
2026-04-14 02:57:49,ESP8266_Node_1,38.04,62.61
2026-04-14 03:02:49,ESP8266_Node_1,37.59,58.51
2026-04-14 03:07:49,ESP8266_Node_1,37.27,60.73
2026-04-14 03:12:49,ESP8266_Node_1,36.99,57.41
2026-04-14 03:17:49,ESP8266_Node_1,36.6,62.29
2026-04-14 03:22:49,ESP8266_Node_1,36.62,61.46
2026-04-14 03:27:49,ESP8266_Node_1,38.08,60.63
2026-04-14 03:32:49,ESP8266_Node_1,36.64,59.04
2026-04-14 03:37:49,ESP8266_Node_1,37.33,60.63
2026-04-14 03:42:49,ESP8266_Node_1,36.13,60.69
2026-04-14 03:47:49,ESP8266_Node_1,37.05,62.54
2026-04-14 03:52:49,ESP8266_Node_1,37.05,59.65
2026-04-14 03:57:49,ESP8266_Node_1,37.65,57.82
2026-04-14 04:02:49,ESP8266_Node_1,36.89,60.2
2026-04-14 04:07:49,ESP8266_Node_1,35.8,57.64
2026-04-14 04:12:49,ESP8266_Node_1,37.56,59.04
2026-04-14 04:17:49,ESP8266_Node_1,36.64,57.11
2026-04-14 04:22:49,ESP8266_Node_1,37.08,59.71
2026-04-14 04:27:49,ESP8266_Node_1,37.16,59.55
2026-04-14 04:32:49,ESP8266_Node_1,36.53,60.21
2026-04-14 04:37:49,ESP8266_Node_1,36.56,59.35
2026-04-14 04:42:49,ESP8266_Node_1,37.99,62.99
2026-04-14 04:47:49,ESP8266_Node_1,37.08,61.24
2026-04-14 04:52:49,ESP8266_Node_1,37.31,61.65
2026-04-14 04:57:49,ESP8266_Node_1,37.47,58.66
2026-04-14 05:02:49,ESP8266_Node_1,37.31,59.72
2026-04-14 05:07:49,ESP8266_Node_1,36.84,60.84
2026-04-14 05:12:49,ESP8266_Node_1,37.32,59.81
2026-04-14 05:17:49,ESP8266_Node_1,37.36,57.37
2026-04-14 05:22:49,ESP8266_Node_1,37.6,56.14
2026-04-14 05:27:49,ESP8266_Node_1,37.65,60.9
2026-04-14 05:32:49,ESP8266_Node_1,37.12,59.58
2026-04-14 05:37:49,ESP8266_Node_1,37.86,58.33
2026-04-14 05:42:49,ESP8266_Node_1,37.55,57.17
2026-04-14 05:47:49,ESP8266_Node_1,37.46,59.88
2026-04-14 05:52:49,ESP8266_Node_1,37.98,58.66
